<Feature Name>	<Feature Type>	LINE_NAME	X	Y	ELEVATION	RANGE	AREA_NAME	<Feature Description>	<Feature Layer Name>	<Index in Layer>
1			750993	9826035	662	1580 m	1580 m		GRID4	0
901			750993	9825535	693	1580 m	1580 m		GRID4	1
1801			750992	9825035	718	1580 m	1580 m		GRID4	2
2701			750992	9824534	744	1580 m	1580 m		GRID4	3
3601			750991	9823534	790	1580 m	1580 m		GRID4	4
4501			750990	9823034	830	1580 m	1580 m		GRID4	5
5401			750990	9822534	906	1580 m	1580 m		GRID4	6
6301			748986	9824049	762	1580 m	1580 m		GRID4	7
7201			749487	9824048	755	1580 m	1580 m		GRID4	8
8101			749987	9824048	755	1580 m	1580 m		GRID4	9
9001			750487	9824047	753	1580 m	1580 m		GRID4	10
9901			751487	9824046	789	1580 m	1580 m		GRID4	11
1			751987	9824046	803	790 m	790 m		GRID4	12
751			752488	9824045	796	790 m	790 m		GRID4	13
1501			752988	9824045	795	790 m	790 m		GRID4	14
2251			749198	9825832	642	790 m	790 m		GRID4	15
3001			749552	9825479	661	790 m	790 m		GRID4	16
3751			749907	9825126	689	790 m	790 m		GRID4	17
4501			750261	9824773	716	790 m	790 m		GRID4	18
1			751679	9823362	835	2370 m	2370 m		GRID4	19
931			752034	9823009	873	2370 m	2370 m		GRID4	20
1861			752388	9822656	907	2370 m	2370 m		GRID4	21
2791			752743	9822303	934	2370 m	2370 m		GRID4	22
3721			752789	9825828	678	2370 m	2370 m		GRID4	23
4651			752433	9825476	700	2370 m	2370 m		GRID4	24
5581			752078	9825124	724	2370 m	2370 m		GRID4	25
6511			751723	9824772	755	2370 m	2370 m		GRID4	26
7441			751012	9824068	766	2370 m	2370 m		GRID4	27
8371			750302	9823363	839	2370 m	2370 m		GRID4	28
9301			749947	9823011	853	2370 m	2370 m		GRID4	29
10231			749591	9822659	885	2370 m	2370 m		GRID4	30
11161			749236	9822307	885	2370 m	2370 m		GRID4	31
