ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2876;-1.708469805;101.1385958;737922.619;9811029.762;4221.591;-4221.591;2023;4;1;11;45;0.952045;0.0359993;24;347.714;863.347675;229.874031;582.957355
2877;-1.641063413;101.1415977;738264.881;9818485.119;599.432;-599.432;2023;4;4;21;16;12.366575;0.0407219;18;293.148;92.913624;102.39017;155.455963
2878;-1.641606745;101.1367853;737729.167;9818425.595;1082.386;-1082.386;2023;4;4;21;17;38.918352;0.0198556;8;313.627;563.403743;233.84974;374.837065
2879;-1.642600832;101.1506235;739269.345;9818313.988;990.057;-990.057;2023;4;4;21;19;37.684975;0.0190199;10;330.171;774.67033;178.035322;433.851982
2880;-1.643482477;101.1440067;738532.738;9818217.262;968.75;-968.75;2023;4;4;21;20;7.907937;0.0174665;8;333.013;469.967502;230.077411;257.530567
2881;-1.641403712;101.1379215;737855.655;9818447.917;365.057;-365.057;2023;4;4;21;21;24.196731;0.0450189;22;273.1;161.390518;104.397677;245.375231
2882;-1.646437938;101.1480206;738979.167;9817889.881;-139.205;139.205;2023;4;4;21;21;37.945518;0.00570581;8;337.228;692.608621;319.293227;713.298524
2883;-1.643217731;101.1399956;738086.31;9818247.024;1536.932;-1536.932;2023;4;4;21;21;52.757319;0.0229305;12;328.758;1150.70058;472.104263;1029.137284
2884;-1.646156265;101.1285346;736810.268;9817923.363;226.562;-226.562;2023;4;4;21;21;54.950048;0.0381202;14;314.32;174.707902;121.335147;174.978946
2885;-1.642401845;101.1480163;738979.167;9818336.31;1593.75;-1593.75;2023;4;4;21;22;3.630297;0.0116763;8;332.776;485.71102;617.777142;409.613901
2886;-1.642820883;101.1337117;737386.905;9818291.667;414.773;-414.773;2023;4;7;6;28;12.294873;0.048379;14;295.329;727.857282;369.415802;527.268632
2887;-1.572864628;101.1304305;737029.762;9826029.762;5244.318;-5244.318;2023;4;13;0;27;12.004878;0.0330938;16;331.573;824.292381;1081.298571;528.322858
2888;-1.686409866;101.1348281;737505.952;9813470.238;642.045;-642.045;2023;4;14;3;58;7.158064;0.10495;16;343.19;473.423075;309.710655;994.431596
2889;-1.602398289;101.1279875;736754.464;9822763.393;123.58;-123.58;2023;4;14;5;51;20.805683;0.0198381;12;287.334;170.444626;191.100598;441.771692
2890;-1.608048469;101.1283944;736799.107;9822138.393;592.33;-592.33;2023;4;14;5;51;25.799562;0.00736878;8;232.738;209.939747;525.255488;790.257186
2891;-1.571252371;101.1282898;736791.667;9826208.333;301.136;-301.136;2023;4;18;3;36;9.806259;0.036917;8;342.031;826.09974;744.706459;1948.068434
