ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2892;-1.606081843;101.1434325;738473.214;9822354.167;31.25;-31.25;2023;5;6;6;37;14.316549;0.00540289;8;338.75;405.703186;744.612243;875.564749
2893;-1.637754502;101.1534258;739581.845;9818849.702;904.83;-904.83;2023;5;15;17;26;39.816585;0.0137909;10;312.941;1325.024387;219.194261;861.734183
2894;-1.637484418;101.1543614;739686.012;9818879.464;862.216;-862.216;2023;5;15;17;32;30.396144;0.0241037;12;311.993;238.897243;147.837135;156.431873
2895;-1.650750651;101.1410732;738205.357;9817413.69;-281.25;281.25;2023;5;19;22;49;48.46411;0.031983;16;332.584;522.374557;278.575984;687.996704
2896;-1.637888605;101.153827;739626.488;9818834.821;975.852;-975.852;2023;5;19;22;54;49.029475;0.0194636;10;317.11;621.725778;220.435218;271.61597
2897;-1.639509969;101.1474116;738912.202;9818656.25;1160.511;-1160.511;2023;5;19;22;54;53.53347;0.0131734;10;321.066;461.472597;308.624541;210.635549
2898;-1.602893437;101.1046588;734157.738;9822711.31;6678.977;-6678.977;2023;5;25;3;57;54.805766;0.0314049;24;292.488;490.351983;304.014979;263.309414
2899;-1.604500713;101.1116124;734931.548;9822532.738;5514.205;-5514.205;2023;5;25;3;58;41.261401;0.0485963;20;274.236;640.641575;239.245339;285.314646
2900;-1.645353807;101.1552388;739782.738;9818008.929;258.523;-258.523;2023;5;27;15;41;24.023228;0.0204497;10;327.248;961.590882;208.771684;791.093729
2901;-1.643695744;101.1333784;737349.702;9818194.94;862.216;-862.216;2023;5;27;15;42;8.603672;0.0207207;16;298.262;185.311785;127.348397;145.332648
2902;-1.607300151;101.1363482;737684.524;9822220.238;414.773;-414.773;2023;5;28;12;27;6.912541;0.0132189;8;314.537;1835.208612;1903.621404;1536.734313
2903;-1.630801857;101.1444946;738588.542;9819619.792;-164.063;164.063;2023;5;28;18;49;16.228186;0.00278075;8;236.349;861.68861;290.119797;87.889915
