ID;Lat;Long;UTM X (m);UTM Y (m) ;Depth (m);Elev (m);Year;Month;Day;Hour;Minute;OT(sec);RMS error;N Phases;GAP;PDF errXX +/- (m);PDF errYY +/- (m);PDF errZZ +/- (m)
2904;-1.690989751;101.1297527;736940.476;9812964.286;1465.909;-1465.909;2023;6;2;17;52;26.666307;0.071791;22;343.221;806.47645;326.289442;655.488017
2905;-1.647138734;101.1219512;736077.381;9817815.476;357.955;-357.955;2023;6;6;1;40;44.045847;0.0151766;8;318.332;1060.740237;486.69933;1112.593861
2906;-1.639393832;101.1302989;737007.44;9818671.131;194.602;-194.602;2023;6;6;1;42;24.766723;0.00941382;8;309.601;148.824461;89.00393;129.272476
2907;-1.643228088;101.1303698;737014.881;9818247.024;855.114;-855.114;2023;6;6;1;48;22.267989;0.0164307;10;292.844;300.333689;146.183011;258.541197
2908;-1.641209879;101.1305013;737029.762;9818470.238;812.5;-812.5;2023;6;6;1;48;43.077703;0.0147741;10;284.865;321.847922;217.959195;328.694482
2909;-1.643954724;101.1427371;738391.369;9818165.179;1288.352;-1288.352;2023;6;6;1;51;12.582826;0.00692947;8;333.709;250.388651;128.852637;139.188802
2910;-1.649280419;101.1321142;737208.333;9817577.381;1267.045;-1267.045;2023;6;6;1;51;15.87252;0.0167293;8;332.476;743.473006;376.837637;505.817032
2911;-1.643426812;101.1332444;737334.821;9818224.702;1188.92;-1188.92;2023;6;6;1;51;30.255296;0.0145483;12;280.471;141.051484;118.038122;154.874418
2912;-1.646651526;101.1371249;737766.369;9817867.56;1387.784;-1387.784;2023;6;6;1;52;19.111708;0.0344789;20;299.248;325.630193;166.454108;248.595297
2913;-1.644099349;101.1333788;737349.702;9818150.298;1302.557;-1302.557;2023;6;6;1;52;40.329689;0.0558776;22;284.251;195.359867;150.482098;282.968646
2914;-1.648670602;101.1361912;737662.202;9817644.345;1515.625;-1515.625;2023;6;6;1;52;50.307323;0.0347221;22;305.096;164.775054;162.628668;142.047146
2915;-1.646121303;101.1297712;736947.917;9817927.083;1146.307;-1146.307;2023;6;6;1;53;28.013666;0.0078613;8;327.332;249.841753;133.537727;215.494241
2916;-1.646464749;101.1231538;736211.31;9817889.881;372.159;-372.159;2023;6;6;1;54;5.295338;0.0217403;10;301.062;912.472035;239.778681;571.71316
2917;-1.647318145;101.1427407;738391.369;9817793.155;322.443;-322.443;2023;6;6;1;54;28.896526;0.0422598;20;310.344;254.221486;130.354412;364.594583
2918;-1.638391015;101.1244822;736360.119;9818782.738;1423.295;-1423.295;2023;6;6;1;54;37.536762;0.0237166;10;296.244;493.640755;507.920259;579.986457
2919;-1.64332894;101.1615201;740482.143;9818232.143;812.5;-812.5;2023;6;6;1;54;44.191823;0.0278992;12;327.355;415.059743;284.085439;309.272958
2920;-1.638835697;101.1488815;739075.893;9818730.655;1487.216;-1487.216;2023;6;6;1;54;53.202353;0.00652548;8;315.858;418.6376;138.131342;174.522674
2921;-1.64420833;101.1258587;736512.649;9818139.137;-227.983;227.983;2023;6;6;1;55;12.252722;0.0273958;14;294.97;129.120151;126.506065;228.677353
2922;-1.646991696;101.1335824;737372.024;9817830.357;1082.386;-1082.386;2023;6;6;1;55;25.808313;0.058519;20;297.716;191.297454;338.611769;183.72776
2923;-1.644097047;101.1355179;737587.798;9818150.298;890.625;-890.625;2023;6;6;1;55;44.557763;0.00883762;8;322.166;215.235061;117.500466;149.875367
2924;-1.642888516;101.1333775;737349.702;9818284.226;1316.761;-1316.761;2023;6;6;1;55;52.509459;0.00597026;8;317.647;223.856829;121.059542;154.570693
2925;-1.634047608;101.1600395;740318.452;9819258.929;684.659;-684.659;2023;6;6;1;56;1.150764;0.00209601;8;320.643;1448.009582;708.538561;965.442308
2926;-1.646984193;101.1405344;738145.833;9817830.357;1849.432;-1849.432;2023;6;6;1;56;8.321685;0.0129949;10;337.52;351.712653;143.833565;145.206593
2927;-1.647804969;101.1279682;736747.024;9817741.071;-25.568;25.568;2023;6;6;1;56;16.764345;0.0235518;10;305.037;421.552343;162.694315;811.196434
2928;-1.644364395;101.1371225;737766.369;9818120.536;947.443;-947.443;2023;6;6;1;56;29.051755;0.0277323;16;310.646;175.889444;151.931271;114.768646
2929;-1.649489922;101.1249618;736412.202;9817555.06;-103.693;103.693;2023;6;6;1;56;36.790915;0.0585563;14;307.606;208.207236;189.077836;255.846971
2930;-1.6416748;101.1360501;737647.321;9818418.155;1160.511;-1160.511;2023;6;6;1;57;14.220909;0.044311;18;269.766;502.715036;123.177653;275.828061
2931;-1.640868732;101.1349797;737528.274;9818507.44;862.216;-862.216;2023;6;6;1;57;25.564051;0.0250566;24;261.921;83.751864;91.765816;96.928753
2932;-1.639788263;101.1388556;737959.821;9818626.488;748.58;-748.58;2023;6;6;1;57;28.895898;0.0229734;12;264.246;200.784155;180.512148;119.186518
2933;-1.639253416;101.1357801;737617.56;9818686.012;663.352;-663.352;2023;6;6;1;57;37.625095;0.0205425;16;247.101;101.874317;112.63696;199.395945
